gene_IDs,DMSO,BPA
ENSG00000106034,2.327881216,2.157840771
ENSG00000143942,5.606647571,5.867585655
ENSG00000216490,10.87849507,10.83863053
ENSG00000278071,6.80234872,7.091676827
ENSG00000153006,3.369651549,3.544600077
ENSG00000087088,10.54784848,10.61656714
ENSG00000037637,8.843078882,8.776530583
ENSG00000014138,4.24239982,4.435846688
ENSG00000117600,3.023283178,3.894685844
ENSG00000008283,9.295634309,9.218157878
ENSG00000163297,9.661622735,9.726170708
ENSG00000139209,2.752488884,2.978013679
ENSG00000142910,5.831566776,5.895512416
ENSG00000124299,12.61526929,12.53752851
ENSG00000174521,2.803722859,3.00447022
ENSG00000234186,1.740837998,2.774397985
ENSG00000137497,6.686212617,6.780559899
ENSG00000135945,5.578074952,5.456575345
ENSG00000140471,4.79123206,4.828399527
ENSG00000250903,4.786986618,5.428934279
ENSG00000134574,10.69734573,10.93531068
ENSG00000120693,5.513547615,5.643620771
ENSG00000182768,8.742310111,8.690827803
ENSG00000255182,4.326111001,4.716594271
ENSG00000265399,2.798511699,1.92073135
ENSG00000242372,11.79333513,11.83342778
ENSG00000031081,4.425567927,4.394700073
ENSG00000164808,6.552269107,6.316392835
ENSG00000143486,8.38405996,8.458177476
ENSG00000254231,7.862824871,8.140840491
ENSG00000186470,6.791636713,6.792902585
ENSG00000139645,10.17893914,10.19040891
ENSG00000231856,3.474849726,3.229030967
ENSG00000253433,3.136055401,3.225000927
ENSG00000214797,8.396283554,8.531936056
ENSG00000255198,10.77860791,11.0047235
ENSG00000271043,15.91708327,15.98882741
ENSG00000215895,7.701779142,7.578641104
ENSG00000231426,4.505618388,4.528757759
ENSG00000144749,8.263822093,8.339033225
ENSG00000205500,11.021471,11.38734494
ENSG00000136238,10.6087132,10.63784182
ENSG00000099991,7.91222421,7.940631934
ENSG00000237087,3.715713166,3.426434542
ENSG00000126870,3.519776935,3.337239449
ENSG00000117713,6.348053187,6.319726596
ENSG00000163328,7.765907665,7.380379443
ENSG00000205054,6.040651444,5.881565656
ENSG00000048471,4.028784161,3.915794917
ENSG00000229809,8.468152798,8.482339329
ENSG00000214193,4.090982175,3.58923982
ENSG00000188612,5.206791603,5.139776852
ENSG00000187902,5.598054131,5.228131979
ENSG00000145293,7.80505157,7.840092161
ENSG00000012048,4.066656903,4.275368559
ENSG00000233277,3.805611778,3.195223724
ENSG00000076108,6.833930147,7.038818846
ENSG00000227373,5.544843957,5.347187309
ENSG00000140320,8.995691361,9.033226547
ENSG00000100219,12.86935547,12.98970308
ENSG00000288007,3.283147143,2.653678985
ENSG00000168477,5.704971065,5.775819058
ENSG00000006468,5.69653801,5.796029494
ENSG00000198876,6.34168868,6.347533827
ENSG00000113658,7.106061737,6.995088794
ENSG00000225746,3.713990267,3.433095319
ENSG00000196116,7.986180145,7.984400325
ENSG00000187812,4.225319889,4.546494852
ENSG00000260496,3.157106097,2.791026208
ENSG00000164938,6.644465695,6.594693793
ENSG00000154874,5.513628467,5.627182395
ENSG00000105127,8.703642731,8.744377922
ENSG00000131263,5.192930265,4.940980333
ENSG00000130222,10.30956275,10.28281111
ENSG00000188130,4.026604221,4.552809701
ENSG00000273032,3.708962628,3.718657363
ENSG00000226328,4.278394508,4.313271526
ENSG00000188155,8.874649938,8.823990928
ENSG00000106628,8.793949021,8.948420433
ENSG00000275043,5.115776639,5.112429229
ENSG00000157110,2.13060974,2.344192479
ENSG00000169100,10.07646671,10.14413622
ENSG00000197977,6.937517232,6.925447862
ENSG00000175073,7.07230117,7.037713791
ENSG00000122026,13.54780409,13.44064824
ENSG00000088280,8.900995466,8.894214153
ENSG00000266535,2.321847611,3.258253629
ENSG00000228360,15.06636658,14.936186
ENSG00000248227,3.031214084,2.562913594
ENSG00000285648,1.616826091,2.24697588
ENSG00000128322,5.514538374,5.646596432
ENSG00000242114,7.947066954,7.935090084
ENSG00000173276,8.134606044,8.037520497
ENSG00000170925,2.789437952,2.591141439
ENSG00000196422,6.651092036,6.802599467
ENSG00000175899,12.15087309,12.27876901
ENSG00000147099,6.452742352,6.34319659
ENSG00000205683,3.694721621,3.605254664
ENSG00000100226,7.267757021,7.328054605
ENSG00000135253,9.351534102,9.424125676
ENSG00000232328,5.348095679,5.687517485
ENSG00000205002,1.835347821,2.403832019
ENSG00000258738,5.687662163,5.756013079
ENSG00000172725,7.233383024,7.539429235
ENSG00000234921,4.12959945,4.412065071
ENSG00000108551,7.912163313,8.006568698
ENSG00000237401,6.871105728,7.53591487
ENSG00000189241,9.950457986,9.845324515
ENSG00000158865,2.764538833,2.30921749
ENSG00000083444,8.855697737,8.804817188
ENSG00000127952,10.12245175,9.87507887
ENSG00000228340,3.98315101,3.975219201
ENSG00000133316,2.6801976,2.541512702
ENSG00000214293,8.153574429,8.142415645
ENSG00000224652,2.562469153,2.703623714
ENSG00000131153,6.010816673,6.191751766
ENSG00000226197,2.730005763,2.240190863
ENSG00000129493,6.651602518,6.74369716
ENSG00000137766,3.312007008,1.704054614
ENSG00000142494,6.534083638,6.572633889
ENSG00000239382,6.291876638,6.402236722
ENSG00000109667,4.069932128,4.220492598
ENSG00000082212,8.084140459,8.086373459
ENSG00000060339,8.063862564,8.097958571
ENSG00000066248,9.342963118,9.427628888
ENSG00000161055,12.1314499,12.31371683
ENSG00000234775,2.978700357,2.638951118
ENSG00000261766,3.02038567,3.337949565
ENSG00000233577,3.217162802,3.123370412
ENSG00000023445,9.598411021,9.650645682
ENSG00000241058,6.781394253,6.806946123
ENSG00000115457,13.79311837,13.76544576
ENSG00000184900,8.31487628,8.432968122
ENSG00000197548,5.722799971,5.842525491
ENSG00000104957,10.65313578,10.85206392
